ID del cliente,Sexo,Edad,Ingresos,Tipo de hogar,Estado civil,Número de hijos,Puntuación de crédito,Tipo de trabajo,Educación,Fecha de inicio de la póliza,Tipo de seguro,Monto del seguro,Fecha del reclamo,Monto del reclamo
34,Femenino,60,187245,Casa,Soltero,5,797,Independiente,Posgrado,2023-01-28,Vida,3586,2022-04-02,1470
35,Masculino,43,75977,Departamento,Soltero,2,814,Empleado,Preparatoria,2022-09-05,Vida,2556,2022-08-24,1814
36,Femenino,39,306996,Departamento,Divorciado,2,549,Empresario,Posgrado,2022-03-09,Hogar,4720,2022-08-19,3714
37,Femenino,62,687669,Departamento,Casado,3,471,Independiente,Posgrado,2022-06-06,Vida,2976,2023-02-09,2625
38,Femenino,72,857770,Casa,Viudo,1,485,Independiente,Posgrado,2022-04-27,Salud,1777,2023-02-05,1195
39,Femenino,21,591918,Departamento,Casado,0,618,Independiente,Preparatoria,2022-03-06,Auto,9414,2022-03-14,8713
40,Femenino,65,631723,Departamento,Soltero,2,381,Empresario,Universidad,2023-01-22,Hogar,2673,2022-09-07,1645
41,Femenino,25,197032,Casa,Viudo,4,667,Independiente,Preparatoria,2022-05-31,Auto,3398,2022-04-13,2542
42,Femenino,70,630407,Departamento,Divorciado,1,488,Empleado,Posgrado,2022-06-20,Hogar,4379,2023-01-30,4094
43,Masculino,30,191446,Casa,Casado,2,793,Empleado,Posgrado,2022-06-13,Vida,3482,2022-03-18,190
44,Masculino,45,779721,Casa,Soltero,5,791,Independiente,Universidad,2022-08-26,Hogar,2789,2022-08-22,1528
45,Femenino,60,851311,Departamento,Divorciado,2,436,Independiente,Universidad,2022-06-07,Auto,9144,2022-05-04,4462
46,Femenino,49,727163,Casa,Casado,0,372,Independiente,Universidad,2022-05-27,Salud,3946,2022-05-29,1172
47,Femenino,71,924475,Departamento,Soltero,1,733,Independiente,Universidad,2022-11-07,Salud,5106,2022-08-07,1211
48,Femenino,18,828023,Casa,Casado,3,371,Empleado,Posgrado,2022-11-29,Hogar,6141,2023-02-07,85
49,Femenino,73,272905,Casa,Viudo,4,675,Empresario,Universidad,2022-08-24,Hogar,5654,2023-02-08,5431
50,Femenino,21,872933,Departamento,Viudo,1,522,Empleado,Posgrado,2023-02-18,Hogar,9983,2023-01-02,811
51,Masculino,75,431389,Casa,Soltero,0,804,Empresario,Universidad,2023-02-23,Auto,8562,2022-12-07,3262
52,Femenino,74,911323,Departamento,Casado,1,398,Empleado,Preparatoria,2023-02-12,Salud,5565,2022-05-21,1003
53,Masculino,29,838714,Departamento,Viudo,3,311,Empleado,Universidad,2022-06-12,Auto,5708,2022-09-13,3475
54,Femenino,30,908944,Casa,Casado,0,487,Empleado,Posgrado,2022-04-27,Vida,4875,2022-11-17,3839
55,Masculino,42,883074,Casa,Casado,5,650,Empleado,Universidad,2023-02-28,Hogar,4032,2022-10-01,241
56,Femenino,39,926332,Casa,Viudo,2,546,Independiente,Universidad,2022-12-03,Hogar,5422,2022-11-13,1056
57,Masculino,46,270290,Casa,Divorciado,3,395,Empleado,Posgrado,2022-03-26,Hogar,7176,2022-05-22,4074
58,Masculino,40,960411,Casa,Casado,2,338,Empresario,Universidad,2023-01-23,Salud,8211,2022-10-21,538
59,Masculino,80,127765,Casa,Divorciado,0,793,Empresario,Preparatoria,2022-09-29,Hogar,3619,2022-07-12,1596
60,Masculino,29,42335,Departamento,Viudo,3,330,Empresario,Universidad,2022-09-10,Vida,9717,2022-08-24,3711
61,Masculino,57,186358,Departamento,Casado,1,412,Empresario,Universidad,2022-03-15,Hogar,8898,2022-10-11,1170
62,Femenino,70,576362,Departamento,Soltero,3,735,Independiente,Posgrado,2022-06-25,Auto,2589,2023-01-07,1433
63,Masculino,41,667796,Casa,Soltero,2,763,Empresario,Preparatoria,2022-09-29,Auto,9184,2023-02-08,600
64,Femenino,37,143972,Casa,Divorciado,3,612,Empresario,Preparatoria,2022-04-22,Salud,1644,2022-08-08,624
65,Masculino,66,668542,Departamento,Divorciado,2,743,Empleado,Universidad,2022-07-09,Hogar,3104,2022-12-14,939
66,Masculino,51,656827,Casa,Casado,3,664,Empleado,Preparatoria,2022-05-11,Salud,6638,2023-02-28,4749
67,Masculino,23,297156,Departamento,Soltero,0,473,Empleado,Preparatoria,2022-03-23,Salud,9342,2023-01-15,7604
68,Masculino,71,412585,Casa,Viudo,5,635,Empresario,Preparatoria,2022-04-28,Auto,3399,2022-07-28,3398
69,Masculino,65,145039,Casa,Viudo,5,741,Empleado,Universidad,2022-12-07,Salud,1709,2022-09-18,1359
70,Masculino,53,780398,Departamento,Viudo,4,699,Independiente,Posgrado,2022-07-28,Hogar,9975,2022-09-15,1927
71,Femenino,44,517175,Departamento,Casado,5,529,Empleado,Preparatoria,2022-08-26,Salud,9537,2022-11-20,1629
72,Masculino,75,774906,Departamento,Viudo,1,431,Empresario,Universidad,2022-06-05,Hogar,7310,2022-07-04,3894
73,Masculino,36,786722,Departamento,Casado,1,664,Independiente,Posgrado,2022-06-02,Hogar,3846,2022-06-20,2177
74,Masculino,32,233664,Casa,Viudo,0,711,Independiente,Preparatoria,2023-01-27,Auto,3418,2022-03-18,2477
75,Femenino,35,154142,Departamento,Soltero,0,305,Independiente,Preparatoria,2022-08-07,Hogar,6675,2022-06-21,4851
76,Masculino,64,988080,Casa,Casado,2,490,Empresario,Posgrado,2022-09-24,Auto,4479,2022-11-17,2737
77,Femenino,41,593090,Casa,Viudo,1,640,Empresario,Preparatoria,2022-07-29,Hogar,3634,2022-12-27,3265
78,Masculino,30,301943,Casa,Casado,2,483,Independiente,Preparatoria,2022-09-30,Hogar,3098,2022-08-08,1773
79,Femenino,71,947310,Casa,Viudo,3,441,Independiente,Universidad,2022-04-18,Hogar,2508,2022-10-28,496
80,Masculino,30,727040,Casa,Viudo,0,313,Empleado,Universidad,2022-12-04,Vida,6867,2022-11-20,4260
81,Masculino,38,865864,Casa,Viudo,5,847,Independiente,Universidad,2022-12-28,Vida,5684,2022-09-20,2034
82,Masculino,74,529743,Departamento,Soltero,2,549,Empresario,Preparatoria,2022-12-23,Vida,2381,2022-05-31,1669
83,Masculino,74,606349,Departamento,Viudo,4,449,Empleado,Preparatoria,2022-04-12,Auto,1340,2023-01-09,1008
84,Masculino,50,216381,Casa,Casado,2,525,Empresario,Preparatoria,2022-08-08,Vida,6431,2022-07-16,3440
85,Masculino,76,657700,Casa,Soltero,2,647,Empresario,Universidad,2022-06-21,Auto,9359,2022-08-14,8736
86,Masculino,22,492853,Departamento,Casado,1,374,Independiente,Universidad,2022-11-05,Salud,9615,2022-03-29,8415
87,Masculino,78,952144,Departamento,Divorciado,5,353,Independiente,Posgrado,2022-08-24,Auto,5031,2023-01-02,2735
88,Masculino,37,277384,Departamento,Viudo,2,711,Independiente,Preparatoria,2022-04-22,Salud,4701,2022-08-02,2365
89,Masculino,78,561781,Departamento,Casado,3,379,Independiente,Posgrado,2022-09-02,Salud,9987,2022-11-24,9781
90,Femenino,56,470817,Departamento,Casado,5,328,Independiente,Posgrado,2022-07-09,Salud,3119,2022-06-18,2596
91,Masculino,59,598563,Casa,Viudo,4,727,Empresario,Posgrado,2023-01-20,Salud,3879,2022-11-05,1358
92,Masculino,40,11655,Departamento,Soltero,4,762,Empresario,Posgrado,2022-08-17,Vida,2218,2022-03-11,1786
93,Masculino,53,155323,Casa,Viudo,3,425,Empleado,Preparatoria,2022-04-28,Vida,8592,2022-12-04,1302
94,Femenino,37,850952,Casa,Casado,2,657,Independiente,Posgrado,2022-04-19,Vida,3943,2022-10-29,3476
95,Masculino,32,502710,Departamento,Soltero,3,731,Independiente,Posgrado,2022-04-26,Salud,9441,2022-08-26,5435
96,Masculino,57,634680,Departamento,Viudo,0,550,Independiente,Posgrado,2022-10-05,Vida,4695,2022-05-22,3628
97,Masculino,76,525657,Casa,Divorciado,2,809,Empresario,Universidad,2022-10-27,Salud,8218,2022-03-24,1473
98,Femenino,65,994728,Casa,Viudo,0,788,Empleado,Posgrado,2022-07-12,Hogar,7031,2022-07-19,1919
99,Femenino,49,95190,Departamento,Casado,3,358,Empresario,Preparatoria,2022-08-19,Auto,7951,2022-06-19,1922
100,Masculino,61,551410,Departamento,Divorciado,4,676,Empleado,Posgrado,2022-12-29,Vida,2124,2022-03-12,1591
101,Masculino,28,46715,Departamento,Divorciado,4,667,Independiente,Universidad,2022-09-14,Hogar,1224,2022-07-22,258
102,Femenino,32,35878,Casa,Viudo,0,477,Independiente,Universidad,2022-08-11,Hogar,9450,2022-09-06,6546
103,Femenino,59,600164,Casa,Divorciado,2,513,Empleado,Preparatoria,2022-07-14,Salud,5251,2022-08-31,4050
104,Masculino,51,623285,Departamento,Soltero,0,815,Independiente,Preparatoria,2022-10-13,Auto,9387,2023-02-09,4357
105,Femenino,27,873168,Departamento,Viudo,4,633,Empresario,Posgrado,2023-01-15,Auto,5748,2022-09-01,3190
106,Femenino,48,48542,Casa,Viudo,3,640,Independiente,Posgrado,2022-05-05,Vida,1601,2023-01-04,837
107,Femenino,28,625903,Casa,Divorciado,3,422,Independiente,Universidad,2022-07-03,Vida,7248,2022-06-30,5597
108,Femenino,21,248116,Departamento,Soltero,0,740,Independiente,Universidad,2023-02-28,Hogar,2232,2022-08-04,1867
109,Femenino,43,397110,Departamento,Casado,1,362,Empresario,Posgrado,2022-11-09,Auto,7954,2023-01-19,6269
110,Femenino,78,639086,Departamento,Viudo,4,321,Empresario,Universidad,2022-04-20,Vida,8471,2022-12-23,6339
111,Masculino,62,441667,Casa,Casado,2,672,Empleado,Preparatoria,2022-07-16,Vida,5610,2022-08-03,1888
112,Masculino,42,533186,Casa,Divorciado,1,356,Independiente,Preparatoria,2022-05-03,Auto,8159,2022-06-21,4674
113,Femenino,73,287934,Departamento,Soltero,2,751,Empresario,Preparatoria,2022-08-05,Vida,4252,2022-08-06,4163
114,Femenino,59,959202,Casa,Soltero,5,396,Empresario,Posgrado,2022-09-24,Hogar,2579,2022-11-04,28
115,Masculino,80,628827,Departamento,Divorciado,5,348,Empresario,Posgrado,2022-04-08,Auto,1028,2022-11-02,855
116,Femenino,32,790030,Casa,Soltero,2,757,Empleado,Universidad,2022-11-10,Hogar,7782,2022-03-06,881
117,Masculino,62,460815,Casa,Viudo,3,482,Empresario,Posgrado,2022-10-05,Vida,2994,2022-07-07,2708
118,Masculino,55,334050,Departamento,Divorciado,5,787,Empleado,Preparatoria,2022-11-19,Vida,3796,2022-08-19,2019
119,Femenino,54,880192,Casa,Viudo,5,397,Empleado,Universidad,2022-10-31,Salud,2312,2022-09-11,541
120,Masculino,53,901454,Departamento,Divorciado,2,382,Independiente,Universidad,2022-09-13,Auto,9333,2022-09-19,8734
121,Femenino,27,221226,Departamento,Soltero,1,495,Empleado,Universidad,2022-04-30,Auto,7247,2022-06-21,3882
122,Masculino,49,368482,Departamento,Soltero,3,437,Empresario,Universidad,2022-04-23,Salud,8752,2022-08-26,3766
123,Masculino,24,369937,Departamento,Casado,4,701,Empresario,Universidad,2022-03-25,Vida,3998,2022-03-12,1010
124,Femenino,18,972589,Casa,Casado,3,376,Empresario,Posgrado,2022-10-01,Salud,3141,2022-06-22,681
125,Femenino,28,903272,Departamento,Casado,0,659,Independiente,Universidad,2022-04-06,Vida,8431,2022-07-28,977
126,Masculino,52,459106,Departamento,Divorciado,4,370,Independiente,Preparatoria,2023-02-26,Vida,1810,2022-11-16,578
127,Femenino,41,17681,Casa,Viudo,5,434,Independiente,Universidad,2022-12-29,Vida,3493,2023-02-05,2573
128,Masculino,34,163600,Casa,Divorciado,0,420,Empresario,Posgrado,2022-03-16,Salud,7605,2022-03-21,710
129,Femenino,70,979056,Casa,Casado,0,363,Independiente,Preparatoria,2022-04-26,Salud,7969,2023-02-17,5151
130,Femenino,57,813903,Departamento,Viudo,5,443,Independiente,Posgrado,2022-12-11,Vida,4467,2022-08-22,1105
131,Femenino,63,408152,Casa,Divorciado,0,648,Independiente,Preparatoria,2022-04-04,Vida,2772,2022-04-25,1579
132,Masculino,58,222370,Casa,Divorciado,2,558,Empleado,Universidad,2022-06-27,Vida,7994,2023-01-04,4186
133,Femenino,60,398351,Casa,Viudo,4,460,Empleado,Universidad,2022-05-03,Salud,2471,2023-02-23,1810
134,Masculino,22,112897,Casa,Casado,1,517,Empresario,Preparatoria,2022-10-31,Hogar,6135,2023-02-21,1889
135,Masculino,52,217042,Departamento,Soltero,4,335,Independiente,Posgrado,2022-04-02,Auto,5391,2022-03-23,2405
136,Femenino,60,850694,Departamento,Divorciado,4,685,Empresario,Preparatoria,2022-10-03,Hogar,8132,2022-03-15,4947
137,Masculino,34,594057,Casa,Soltero,0,519,Independiente,Posgrado,2022-10-21,Vida,5530,2023-01-11,1602
138,Femenino,46,149417,Departamento,Soltero,5,493,Independiente,Posgrado,2022-09-30,Vida,8660,2022-05-31,2471
139,Masculino,24,994878,Casa,Viudo,3,658,Independiente,Universidad,2022-10-07,Salud,1941,2023-02-18,905
140,Masculino,65,675338,Departamento,Viudo,2,715,Empresario,Posgrado,2022-04-07,Hogar,8879,2022-10-22,8451
141,Masculino,38,86991,Departamento,Casado,0,730,Empleado,Universidad,2022-05-05,Auto,3318,2022-07-23,1274
142,Masculino,78,409498,Casa,Soltero,3,332,Empleado,Posgrado,2023-01-07,Salud,8755,2022-10-30,4276
143,Masculino,25,38949,Casa,Divorciado,2,436,Empleado,Posgrado,2022-05-24,Vida,8095,2022-05-08,3156
144,Masculino,52,613023,Departamento,Casado,5,711,Independiente,Posgrado,2022-05-25,Salud,6879,2022-10-04,330
145,Masculino,43,830973,Casa,Soltero,1,655,Empresario,Preparatoria,2023-01-04,Salud,5128,2022-07-14,4364
146,Masculino,37,284593,Departamento,Soltero,5,347,Empresario,Universidad,2022-10-11,Vida,6708,2022-12-06,616
147,Femenino,70,233849,Departamento,Viudo,4,420,Empresario,Preparatoria,2022-10-10,Salud,3992,2022-03-23,3094
148,Femenino,23,163366,Departamento,Viudo,4,539,Empleado,Posgrado,2022-06-24,Vida,6493,2022-05-07,3897
149,Femenino,48,220061,Departamento,Divorciado,3,704,Empresario,Posgrado,2023-02-17,Hogar,1642,2022-08-15,552
150,Masculino,18,323486,Departamento,Soltero,4,573,Independiente,Preparatoria,2022-08-12,Salud,5030,2022-11-04,3894
151,Masculino,75,707263,Departamento,Divorciado,1,525,Empleado,Posgrado,2022-07-09,Salud,3411,2022-07-31,898
152,Femenino,40,516889,Departamento,Casado,0,372,Empleado,Posgrado,2022-11-06,Hogar,1203,2022-11-28,71
153,Femenino,66,75022,Casa,Divorciado,0,844,Independiente,Universidad,2022-04-16,Hogar,2419,2023-02-27,569
154,Femenino,27,698350,Casa,Casado,1,356,Independiente,Preparatoria,2022-06-05,Salud,3601,2022-05-29,2548
155,Masculino,73,959153,Casa,Viudo,0,616,Empleado,Preparatoria,2023-01-17,Salud,4933,2023-03-02,1793
156,Femenino,21,789063,Departamento,Viudo,0,497,Empleado,Posgrado,2022-04-12,Vida,1589,2022-08-17,1162
157,Femenino,72,756663,Departamento,Casado,1,393,Independiente,Universidad,2023-01-05,Hogar,6075,2022-11-20,5363
158,Femenino,38,471638,Departamento,Divorciado,2,641,Empleado,Universidad,2022-07-18,Hogar,3204,2022-09-24,946
159,Femenino,22,871962,Casa,Divorciado,5,637,Empresario,Universidad,2022-10-17,Salud,4623,2022-07-01,1181
160,Femenino,40,626084,Departamento,Soltero,0,509,Independiente,Preparatoria,2022-06-16,Auto,5784,2022-03-06,20
161,Femenino,74,877147,Casa,Casado,0,334,Independiente,Preparatoria,2023-01-18,Hogar,1691,2022-10-02,340
162,Femenino,41,367558,Departamento,Casado,4,824,Empresario,Preparatoria,2023-01-01,Salud,1196,2022-08-01,490
163,Masculino,75,136953,Departamento,Casado,3,735,Empresario,Universidad,2022-07-03,Auto,8283,2022-12-01,4003
164,Masculino,80,158452,Departamento,Soltero,0,633,Independiente,Posgrado,2023-01-25,Auto,3423,2023-02-08,348
165,Femenino,38,884079,Departamento,Casado,0,778,Empresario,Posgrado,2022-08-14,Hogar,6609,2022-06-07,791
166,Masculino,54,826355,Departamento,Soltero,2,355,Empleado,Universidad,2023-02-15,Salud,2736,2022-07-28,466
167,Femenino,44,695967,Casa,Soltero,2,322,Empresario,Posgrado,2022-08-09,Hogar,1001,2022-12-17,782
168,Femenino,61,237330,Casa,Viudo,1,329,Independiente,Preparatoria,2022-05-01,Salud,4837,2022-03-14,4554
169,Femenino,47,222079,Casa,Casado,4,474,Empresario,Posgrado,2022-07-01,Salud,4585,2022-05-29,4457
170,Masculino,34,99316,Departamento,Soltero,0,562,Empleado,Universidad,2022-09-14,Hogar,1866,2022-10-22,1386
171,Masculino,25,371091,Departamento,Divorciado,1,629,Independiente,Universidad,2022-12-26,Vida,3235,2022-07-17,1697
172,Femenino,24,630254,Departamento,Casado,2,823,Empleado,Universidad,2022-04-30,Vida,3990,2022-10-01,3319
173,Femenino,74,480611,Departamento,Soltero,1,663,Empresario,Posgrado,2022-12-27,Vida,1487,2023-02-09,1261
174,Femenino,59,261938,Casa,Soltero,1,420,Empresario,Universidad,2022-03-12,Auto,7736,2022-10-11,368
175,Femenino,31,796708,Departamento,Casado,5,823,Empresario,Universidad,2022-12-28,Vida,1835,2022-11-20,541
176,Masculino,51,409421,Departamento,Divorciado,4,618,Empleado,Preparatoria,2022-04-29,Salud,7713,2022-12-01,60
177,Masculino,18,473164,Departamento,Soltero,2,762,Empleado,Posgrado,2022-06-28,Hogar,6921,2022-03-31,5616
178,Masculino,55,923389,Casa,Casado,0,536,Independiente,Posgrado,2022-03-12,Salud,6396,2022-05-03,3535
179,Femenino,62,521333,Casa,Viudo,1,336,Empleado,Posgrado,2022-09-21,Hogar,2502,2022-04-04,330
180,Femenino,70,622268,Casa,Divorciado,3,461,Independiente,Universidad,2022-12-27,Vida,5971,2022-06-09,3416
181,Femenino,26,829883,Departamento,Casado,0,455,Empresario,Posgrado,2022-09-25,Auto,2799,2022-07-08,115
182,Femenino,26,545407,Casa,Viudo,1,602,Empresario,Preparatoria,2022-06-29,Hogar,3354,2022-09-06,902
183,Masculino,58,410606,Casa,Divorciado,4,414,Empresario,Posgrado,2022-03-08,Salud,8991,2022-03-20,328
184,Masculino,78,812376,Casa,Viudo,5,329,Empresario,Posgrado,2022-05-20,Vida,8728,2022-11-03,4199
185,Femenino,50,354970,Casa,Soltero,0,784,Empleado,Universidad,2022-04-11,Auto,6665,2022-11-04,1689
186,Masculino,63,343046,Casa,Divorciado,0,359,Empleado,Universidad,2022-07-16,Vida,3429,2023-01-16,1976
187,Femenino,52,889231,Casa,Casado,2,735,Independiente,Preparatoria,2022-03-09,Salud,4290,2022-10-18,3856
188,Femenino,75,164777,Departamento,Divorciado,0,701,Independiente,Universidad,2022-12-16,Salud,4207,2023-01-22,2833
189,Masculino,44,46445,Departamento,Casado,1,684,Independiente,Posgrado,2022-10-08,Auto,9772,2022-03-20,1732
190,Femenino,41,668752,Casa,Divorciado,2,811,Empleado,Universidad,2022-08-30,Vida,9777,2022-05-18,7503
191,Masculino,20,365842,Departamento,Casado,3,316,Empresario,Preparatoria,2022-08-17,Salud,3688,2022-11-03,3272
192,Femenino,57,252015,Casa,Viudo,5,408,Independiente,Posgrado,2022-10-12,Hogar,1499,2022-05-20,873
193,Masculino,33,969358,Casa,Soltero,4,325,Independiente,Preparatoria,2022-11-27,Salud,9435,2022-08-07,1229
194,Masculino,34,877374,Departamento,Viudo,1,789,Empleado,Universidad,2023-01-24,Salud,3905,2022-08-20,2656
195,Masculino,75,784144,Departamento,Soltero,3,384,Empresario,Universidad,2023-02-14,Salud,6029,2022-11-02,5468
196,Femenino,53,372310,Casa,Soltero,4,685,Independiente,Posgrado,2022-05-16,Salud,3541,2022-03-20,1953
197,Masculino,26,192313,Departamento,Casado,2,678,Empleado,Preparatoria,2023-02-26,Vida,9125,2022-04-15,6152
198,Femenino,52,549526,Departamento,Soltero,0,798,Independiente,Posgrado,2022-04-14,Vida,2264,2022-12-15,142
199,Masculino,41,616989,Departamento,Viudo,2,577,Independiente,Posgrado,2022-05-19,Hogar,3850,2022-03-21,2155
200,Femenino,80,87387,Casa,Viudo,5,566,Independiente,Universidad,2022-03-09,Auto,6630,2022-07-21,3726
201,Femenino,22,585062,Casa,Soltero,2,762,Empleado,Preparatoria,2022-09-07,Vida,8740,2022-11-22,7821
202,Femenino,31,390082,Departamento,Casado,4,542,Empresario,Posgrado,2022-03-30,Auto,2277,2022-06-28,1139
203,Femenino,24,560686,Casa,Divorciado,4,563,Empleado,Universidad,2022-05-26,Salud,6811,2022-07-07,2525
204,Femenino,48,117710,Departamento,Viudo,2,785,Empresario,Posgrado,2022-05-08,Hogar,5069,2022-12-30,8
205,Femenino,78,894101,Departamento,Viudo,3,729,Empresario,Posgrado,2022-11-25,Vida,9570,2022-10-04,8371
206,Femenino,35,761437,Departamento,Soltero,0,719,Empresario,Preparatoria,2022-06-11,Vida,4771,2022-11-13,4249
207,Femenino,47,302659,Casa,Soltero,0,720,Empresario,Preparatoria,2022-12-26,Vida,1684,2023-03-01,1199
208,Masculino,35,505758,Departamento,Viudo,0,591,Empresario,Preparatoria,2022-06-27,Hogar,2029,2023-01-03,1172
209,Masculino,51,50515,Casa,Divorciado,5,805,Empleado,Universidad,2022-12-09,Vida,7210,2023-02-12,6337
210,Femenino,78,182695,Departamento,Viudo,5,658,Independiente,Posgrado,2022-08-16,Hogar,5554,2022-12-02,305
211,Femenino,66,163875,Casa,Divorciado,1,734,Empresario,Universidad,2022-11-06,Salud,9886,2022-07-01,748
212,Femenino,49,182562,Departamento,Casado,0,475,Independiente,Universidad,2022-08-09,Auto,8040,2022-08-05,360
213,Masculino,44,545783,Casa,Casado,2,511,Empresario,Posgrado,2022-06-02,Vida,9814,2022-04-03,9189
214,Masculino,69,815578,Departamento,Soltero,2,771,Empresario,Posgrado,2022-10-14,Auto,5089,2022-09-16,3490
215,Femenino,80,455309,Departamento,Casado,3,640,Independiente,Posgrado,2022-09-27,Hogar,6770,2022-03-24,4932
216,Femenino,42,496360,Departamento,Viudo,4,302,Empresario,Preparatoria,2022-03-29,Salud,1090,2022-08-27,755
217,Femenino,77,579406,Departamento,Soltero,1,389,Empresario,Preparatoria,2023-02-24,Salud,1714,2022-11-12,1442
218,Masculino,28,467145,Casa,Soltero,2,680,Independiente,Posgrado,2022-11-11,Hogar,5189,2022-12-12,2245
219,Femenino,46,745642,Departamento,Divorciado,3,778,Empleado,Universidad,2022-09-24,Hogar,4995,2022-11-17,4928
220,Femenino,39,548708,Departamento,Soltero,1,445,Empresario,Preparatoria,2022-12-12,Salud,2778,2023-01-09,1243
221,Femenino,28,672262,Casa,Casado,5,509,Empleado,Posgrado,2022-09-07,Salud,1519,2022-03-17,308
222,Femenino,78,47216,Departamento,Divorciado,1,623,Empresario,Posgrado,2022-11-06,Vida,9959,2023-02-11,3526
223,Masculino,46,162987,Departamento,Divorciado,2,627,Empresario,Preparatoria,2022-07-15,Hogar,8814,2023-01-17,6478
224,Femenino,35,266885,Departamento,Soltero,5,488,Empleado,Posgrado,2022-05-16,Vida,2023,2022-08-21,417
225,Masculino,41,951219,Departamento,Viudo,1,604,Empresario,Posgrado,2022-07-24,Salud,9636,2022-06-20,396
226,Masculino,19,709168,Casa,Viudo,0,407,Independiente,Posgrado,2022-08-04,Salud,3466,2022-08-26,444
227,Masculino,46,720940,Casa,Viudo,5,373,Empresario,Posgrado,2022-03-12,Auto,6439,2022-07-25,3886
