ID del cliente,Edad,Ingresos,Número de hijos,Puntuación de crédito,Monto del seguro,start_date,start_date_day,start_date_month,start_date_weekday,target,Sexo_Masculino,Tipo de hogar_Departamento,Estado civil_Divorciado,Estado civil_Soltero,Estado civil_Viudo,Tipo de trabajo_Empresario,Tipo de trabajo_Independiente,Educación_Preparatoria,Educación_Universidad,Tipo de seguro_Hogar,Tipo de seguro_Salud,Tipo de seguro_Vida
48,18,828023,3,371,6141,2022-11-29,29,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0
49,73,272905,4,675,5654,2022-08-24,24,8,2,1,0,0,0,0,1,1,0,0,1,1,0,0
50,21,872933,1,522,9983,2023-02-18,18,2,5,1,0,1,0,0,1,0,0,0,0,1,0,0
51,75,431389,0,804,8562,2023-02-23,23,2,3,0,1,0,0,1,0,1,0,0,1,0,0,0
52,74,911323,1,398,5565,2023-02-12,12,2,6,0,0,1,0,0,0,0,0,1,0,0,1,0
53,29,838714,3,311,5708,2022-06-12,12,6,6,0,1,1,0,0,1,0,0,0,1,0,0,0
54,30,908944,0,487,4875,2022-04-27,27,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1
55,42,883074,5,650,4032,2023-02-28,28,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0
56,39,926332,2,546,5422,2022-12-03,3,12,5,0,0,0,0,0,1,0,1,0,1,1,0,0
57,46,270290,3,395,7176,2022-03-26,26,3,5,0,1,0,1,0,0,0,0,0,0,1,0,0
58,40,960411,2,338,8211,2023-01-23,23,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
59,80,127765,0,793,3619,2022-09-29,29,9,3,0,1,0,1,0,0,1,0,1,0,1,0,0
60,29,42335,3,330,9717,2022-09-10,10,9,5,0,1,1,0,0,1,1,0,0,1,0,0,1
61,57,186358,1,412,8898,2022-03-15,15,3,1,0,1,1,0,0,0,1,0,0,1,1,0,0
62,70,576362,3,735,2589,2022-06-25,25,6,5,1,0,1,0,1,0,0,1,0,0,0,0,0
63,41,667796,2,763,9184,2022-09-29,29,9,3,1,1,0,0,1,0,1,0,1,0,0,0,0
64,37,143972,3,612,1644,2022-04-22,22,4,4,0,0,0,1,0,0,1,0,1,0,0,1,0
65,66,668542,2,743,3104,2022-07-09,9,7,5,0,1,1,1,0,0,0,0,0,1,1,0,0
66,51,656827,3,664,6638,2022-05-11,11,5,2,1,1,0,0,0,0,0,0,1,0,0,1,0
67,23,297156,0,473,9342,2022-03-23,23,3,2,1,1,1,0,1,0,0,0,1,0,0,1,0
68,71,412585,5,635,3399,2022-04-28,28,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0
69,65,145039,5,741,1709,2022-12-07,7,12,2,0,1,0,0,0,1,0,0,0,1,0,1,0
70,53,780398,4,699,9975,2022-07-28,28,7,3,0,1,1,0,0,1,0,1,0,0,1,0,0
71,44,517175,5,529,9537,2022-08-26,26,8,4,0,0,1,0,0,0,0,0,1,0,0,1,0
72,75,774906,1,431,7310,2022-06-05,5,6,6,0,1,1,0,0,1,1,0,0,1,1,0,0
73,36,786722,1,664,3846,2022-06-02,2,6,3,0,1,1,0,0,0,0,1,0,0,1,0,0
74,32,233664,0,711,3418,2023-01-27,27,1,4,0,1,0,0,0,1,0,1,1,0,0,0,0
75,35,154142,0,305,6675,2022-08-07,7,8,6,0,0,1,0,1,0,0,1,1,0,1,0,0
76,64,988080,2,490,4479,2022-09-24,24,9,5,0,1,0,0,0,0,1,0,0,0,0,0,0
77,41,593090,1,640,3634,2022-07-29,29,7,4,0,0,0,0,0,1,1,0,1,0,1,0,0
78,30,301943,2,483,3098,2022-09-30,30,9,4,0,1,0,0,0,0,0,1,1,0,1,0,0
79,71,947310,3,441,2508,2022-04-18,18,4,0,0,0,0,0,0,1,0,1,0,1,1,0,0
80,30,727040,0,313,6867,2022-12-04,4,12,6,0,1,0,0,0,1,0,0,0,1,0,0,1
81,38,865864,5,847,5684,2022-12-28,28,12,2,0,1,0,0,0,1,0,1,0,1,0,0,1
82,74,529743,2,549,2381,2022-12-23,23,12,4,0,1,1,0,1,0,1,0,1,0,0,0,1
83,74,606349,4,449,1340,2022-04-12,12,4,1,1,1,1,0,0,1,0,0,1,0,0,0,0
84,50,216381,2,525,6431,2022-08-08,8,8,0,0,1,0,0,0,0,1,0,1,0,0,0,1
85,76,657700,2,647,9359,2022-06-21,21,6,1,0,1,0,0,1,0,1,0,0,1,0,0,0
86,22,492853,1,374,9615,2022-11-05,5,11,5,0,1,1,0,0,0,0,1,0,1,0,1,0
87,78,952144,5,353,5031,2022-08-24,24,8,2,1,1,1,1,0,0,0,1,0,0,0,0,0
88,37,277384,2,711,4701,2022-04-22,22,4,4,0,1,1,0,0,1,0,1,1,0,0,1,0
89,78,561781,3,379,9987,2022-09-02,2,9,4,0,1,1,0,0,0,0,1,0,0,0,1,0
90,56,470817,5,328,3119,2022-07-09,9,7,5,0,0,1,0,0,0,0,1,0,0,0,1,0
91,59,598563,4,727,3879,2023-01-20,20,1,4,0,1,0,0,0,1,1,0,0,0,0,1,0
92,40,11655,4,762,2218,2022-08-17,17,8,2,0,1,1,0,1,0,1,0,0,0,0,0,1
93,53,155323,3,425,8592,2022-04-28,28,4,3,0,1,0,0,0,1,0,0,1,0,0,0,1
94,37,850952,2,657,3943,2022-04-19,19,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
95,32,502710,3,731,9441,2022-04-26,26,4,1,0,1,1,0,1,0,0,1,0,0,0,1,0
96,57,634680,0,550,4695,2022-10-05,5,10,2,0,1,1,0,0,1,0,1,0,0,0,0,1
97,76,525657,2,809,8218,2022-10-27,27,10,3,0,1,0,1,0,0,1,0,0,1,0,1,0
98,65,994728,0,788,7031,2022-07-12,12,7,1,0,0,0,0,0,1,0,0,0,0,1,0,0
99,49,95190,3,358,7951,2022-08-19,19,8,4,0,0,1,0,0,0,1,0,1,0,0,0,0
100,61,551410,4,676,2124,2022-12-29,29,12,3,0,1,1,1,0,0,0,0,0,0,0,0,1
101,28,46715,4,667,1224,2022-09-14,14,9,2,0,1,1,1,0,0,0,1,0,1,1,0,0
102,32,35878,0,477,9450,2022-08-11,11,8,3,0,0,0,0,0,1,0,1,0,1,1,0,0
103,59,600164,2,513,5251,2022-07-14,14,7,3,0,0,0,1,0,0,0,0,1,0,0,1,0
104,51,623285,0,815,9387,2022-10-13,13,10,3,1,1,1,0,1,0,0,1,1,0,0,0,0
105,27,873168,4,633,5748,2023-01-15,15,1,6,0,0,1,0,0,1,1,0,0,0,0,0,0
106,48,48542,3,640,1601,2022-05-05,5,5,3,1,0,0,0,0,1,0,1,0,0,0,0,1
107,28,625903,3,422,7248,2022-07-03,3,7,6,0,0,0,1,0,0,0,1,0,1,0,0,1
108,21,248116,0,740,2232,2023-02-28,28,2,1,0,0,1,0,1,0,0,1,0,1,1,0,0
109,43,397110,1,362,7954,2022-11-09,9,11,2,1,0,1,0,0,0,1,0,0,0,0,0,0
110,78,639086,4,321,8471,2022-04-20,20,4,2,0,0,1,0,0,1,1,0,0,1,0,0,1
111,62,441667,2,672,5610,2022-07-16,16,7,5,0,1,0,0,0,0,0,0,1,0,0,0,1
112,42,533186,1,356,8159,2022-05-03,3,5,1,0,1,0,1,0,0,0,1,1,0,0,0,0
113,73,287934,2,751,4252,2022-08-05,5,8,4,0,0,1,0,1,0,1,0,1,0,0,0,1
114,59,959202,5,396,2579,2022-09-24,24,9,5,0,0,0,0,1,0,1,0,0,0,1,0,0
115,80,628827,5,348,1028,2022-04-08,8,4,4,0,1,1,1,0,0,1,0,0,0,0,0,0
116,32,790030,2,757,7782,2022-11-10,10,11,3,0,0,0,0,1,0,0,0,0,1,1,0,0
117,62,460815,3,482,2994,2022-10-05,5,10,2,0,1,0,0,0,1,1,0,0,0,0,0,1
118,55,334050,5,787,3796,2022-11-19,19,11,5,0,1,1,1,0,0,0,0,1,0,0,0,1
119,54,880192,5,397,2312,2022-10-31,31,10,0,0,0,0,0,0,1,0,0,0,1,0,1,0
120,53,901454,2,382,9333,2022-09-13,13,9,1,0,1,1,1,0,0,0,1,0,1,0,0,0
121,27,221226,1,495,7247,2022-04-30,30,4,5,0,0,1,0,1,0,0,0,0,1,0,0,0
122,49,368482,3,437,8752,2022-04-23,23,4,5,0,1,1,0,1,0,1,0,0,1,0,1,0
123,24,369937,4,701,3998,2022-03-25,25,3,4,0,1,1,0,0,0,1,0,0,1,0,0,1
124,18,972589,3,376,3141,2022-10-01,1,10,5,0,0,0,0,0,0,1,0,0,0,0,1,0
125,28,903272,0,659,8431,2022-04-06,6,4,2,0,0,1,0,0,0,0,1,0,1,0,0,1
126,52,459106,4,370,1810,2023-02-26,26,2,6,0,1,1,1,0,0,0,1,1,0,0,0,1
127,41,17681,5,434,3493,2022-12-29,29,12,3,1,0,0,0,0,1,0,1,0,1,0,0,1
128,34,163600,0,420,7605,2022-03-16,16,3,2,0,1,0,1,0,0,1,0,0,0,0,1,0
129,70,979056,0,363,7969,2022-04-26,26,4,1,1,0,0,0,0,0,0,1,1,0,0,1,0
130,57,813903,5,443,4467,2022-12-11,11,12,6,0,0,1,0,0,1,0,1,0,0,0,0,1
131,63,408152,0,648,2772,2022-04-04,4,4,0,0,0,0,1,0,0,0,1,1,0,0,0,1
132,58,222370,2,558,7994,2022-06-27,27,6,0,1,1,0,1,0,0,0,0,0,1,0,0,1
133,60,398351,4,460,2471,2022-05-03,3,5,1,1,0,0,0,0,1,0,0,0,1,0,1,0
134,22,112897,1,517,6135,2022-10-31,31,10,0,1,1,0,0,0,0,1,0,1,0,1,0,0
135,52,217042,4,335,5391,2022-04-02,2,4,5,0,1,1,0,1,0,0,1,0,0,0,0,0
136,60,850694,4,685,8132,2022-10-03,3,10,0,0,0,1,1,0,0,1,0,1,0,1,0,0
137,34,594057,0,519,5530,2022-10-21,21,10,4,1,1,0,0,1,0,0,1,0,0,0,0,1
138,46,149417,5,493,8660,2022-09-30,30,9,4,0,0,1,0,1,0,0,1,0,0,0,0,1
139,24,994878,3,658,1941,2022-10-07,7,10,4,1,1,0,0,0,1,0,1,0,1,0,1,0
140,65,675338,2,715,8879,2022-04-07,7,4,3,0,1,1,0,0,1,1,0,0,0,1,0,0
141,38,86991,0,730,3318,2022-05-05,5,5,3,0,1,1,0,0,0,0,0,0,1,0,0,0
142,78,409498,3,332,8755,2023-01-07,7,1,5,0,1,0,0,1,0,0,0,0,0,0,1,0
143,25,38949,2,436,8095,2022-05-24,24,5,1,0,1,0,1,0,0,0,0,0,0,0,0,1
144,52,613023,5,711,6879,2022-05-25,25,5,2,0,1,1,0,0,0,0,1,0,0,0,1,0
145,43,830973,1,655,5128,2023-01-04,4,1,2,0,1,0,0,1,0,1,0,1,0,0,1,0
146,37,284593,5,347,6708,2022-10-11,11,10,1,0,1,1,0,1,0,1,0,0,1,0,0,1
147,70,233849,4,420,3992,2022-10-10,10,10,0,0,0,1,0,0,1,1,0,1,0,0,1,0
148,23,163366,4,539,6493,2022-06-24,24,6,4,0,0,1,0,0,1,0,0,0,0,0,0,1
149,48,220061,3,704,1642,2023-02-17,17,2,4,0,0,1,1,0,0,1,0,0,0,1,0,0
150,18,323486,4,573,5030,2022-08-12,12,8,4,0,1,1,0,1,0,0,1,1,0,0,1,0
151,75,707263,1,525,3411,2022-07-09,9,7,5,0,1,1,1,0,0,0,0,0,0,0,1,0
152,40,516889,0,372,1203,2022-11-06,6,11,6,0,0,1,0,0,0,0,0,0,0,1,0,0
153,66,75022,0,844,2419,2022-04-16,16,4,5,1,0,0,1,0,0,0,1,0,1,1,0,0
154,27,698350,1,356,3601,2022-06-05,5,6,6,0,0,0,0,0,0,0,1,1,0,0,1,0
155,73,959153,0,616,4933,2023-01-17,17,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0
156,21,789063,0,497,1589,2022-04-12,12,4,1,0,0,1,0,0,1,0,0,0,0,0,0,1
157,72,756663,1,393,6075,2023-01-05,5,1,3,0,0,1,0,0,0,0,1,0,1,1,0,0
158,38,471638,2,641,3204,2022-07-18,18,7,0,0,0,1,1,0,0,0,0,0,1,1,0,0
159,22,871962,5,637,4623,2022-10-17,17,10,0,0,0,0,1,0,0,1,0,0,1,0,1,0
160,40,626084,0,509,5784,2022-06-16,16,6,3,0,0,1,0,1,0,0,1,1,0,0,0,0
161,74,877147,0,334,1691,2023-01-18,18,1,2,0,0,0,0,0,0,0,1,1,0,1,0,0
162,41,367558,4,824,1196,2023-01-01,1,1,6,0,0,1,0,0,0,1,0,1,0,0,1,0
163,75,136953,3,735,8283,2022-07-03,3,7,6,0,1,1,0,0,0,1,0,0,1,0,0,0
164,80,158452,0,633,3423,2023-01-25,25,1,2,1,1,1,0,1,0,0,1,0,0,0,0,0
165,38,884079,0,778,6609,2022-08-14,14,8,6,0,0,1,0,0,0,1,0,0,0,1,0,0
166,54,826355,2,355,2736,2023-02-15,15,2,2,0,1,1,0,1,0,0,0,0,1,0,1,0
167,44,695967,2,322,1001,2022-08-09,9,8,1,0,0,0,0,1,0,1,0,0,0,1,0,0
168,61,237330,1,329,4837,2022-05-01,1,5,6,0,0,0,0,0,1,0,1,1,0,0,1,0
169,47,222079,4,474,4585,2022-07-01,1,7,4,0,0,0,0,0,0,1,0,0,0,0,1,0
170,34,99316,0,562,1866,2022-09-14,14,9,2,0,1,1,0,1,0,0,0,0,1,1,0,0
171,25,371091,1,629,3235,2022-12-26,26,12,0,0,1,1,1,0,0,0,1,0,1,0,0,1
172,24,630254,2,823,3990,2022-04-30,30,4,5,0,0,1,0,0,0,0,0,0,1,0,0,1
173,74,480611,1,663,1487,2022-12-27,27,12,1,1,0,1,0,1,0,1,0,0,0,0,0,1
174,59,261938,1,420,7736,2022-03-12,12,3,5,0,0,0,0,1,0,1,0,0,1,0,0,0
175,31,796708,5,823,1835,2022-12-28,28,12,2,0,0,1,0,0,0,1,0,0,1,0,0,1
176,51,409421,4,618,7713,2022-04-29,29,4,4,0,1,1,1,0,0,0,0,1,0,0,1,0
177,18,473164,2,762,6921,2022-06-28,28,6,1,0,1,1,0,1,0,0,0,0,0,1,0,0
178,55,923389,0,536,6396,2022-03-12,12,3,5,0,1,0,0,0,0,0,1,0,0,0,1,0
179,62,521333,1,336,2502,2022-09-21,21,9,2,0,0,0,0,0,1,0,0,0,0,1,0,0
180,70,622268,3,461,5971,2022-12-27,27,12,1,0,0,0,1,0,0,0,1,0,1,0,0,1
181,26,829883,0,455,2799,2022-09-25,25,9,6,0,0,1,0,0,0,1,0,0,0,0,0,0
182,26,545407,1,602,3354,2022-06-29,29,6,2,0,0,0,0,0,1,1,0,1,0,1,0,0
183,58,410606,4,414,8991,2022-03-08,8,3,1,0,1,0,1,0,0,1,0,0,0,0,1,0
184,78,812376,5,329,8728,2022-05-20,20,5,4,0,1,0,0,0,1,1,0,0,0,0,0,1
185,50,354970,0,784,6665,2022-04-11,11,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0
186,63,343046,0,359,3429,2022-07-16,16,7,5,1,1,0,1,0,0,0,0,0,1,0,0,1
187,52,889231,2,735,4290,2022-03-09,9,3,2,0,0,0,0,0,0,0,1,1,0,0,1,0
188,75,164777,0,701,4207,2022-12-16,16,12,4,1,0,1,1,0,0,0,1,0,1,0,1,0
189,44,46445,1,684,9772,2022-10-08,8,10,5,0,1,1,0,0,0,0,1,0,0,0,0,0
190,41,668752,2,811,9777,2022-08-30,30,8,1,0,0,0,1,0,0,0,0,0,1,0,0,1
191,20,365842,3,316,3688,2022-08-17,17,8,2,0,1,1,0,0,0,1,0,1,0,0,1,0
192,57,252015,5,408,1499,2022-10-12,12,10,2,0,0,0,0,0,1,0,1,0,0,1,0,0
193,33,969358,4,325,9435,2022-11-27,27,11,6,0,1,0,0,1,0,0,1,1,0,0,1,0
194,34,877374,1,789,3905,2023-01-24,24,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0
195,75,784144,3,384,6029,2023-02-14,14,2,1,0,1,1,0,1,0,1,0,0,1,0,1,0
196,53,372310,4,685,3541,2022-05-16,16,5,0,0,0,0,0,1,0,0,1,0,0,0,1,0
197,26,192313,2,678,9125,2023-02-26,26,2,6,0,1,1,0,0,0,0,0,1,0,0,0,1
198,52,549526,0,798,2264,2022-04-14,14,4,3,0,0,1,0,1,0,0,1,0,0,0,0,1
199,41,616989,2,577,3850,2022-05-19,19,5,3,0,1,1,0,0,1,0,1,0,0,1,0,0
200,80,87387,5,566,6630,2022-03-09,9,3,2,0,0,0,0,0,1,0,1,0,1,0,0,0
201,22,585062,2,762,8740,2022-09-07,7,9,2,0,0,0,0,1,0,0,0,1,0,0,0,1
202,31,390082,4,542,2277,2022-03-30,30,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0
203,24,560686,4,563,6811,2022-05-26,26,5,3,0,0,0,1,0,0,0,0,0,1,0,1,0
204,48,117710,2,785,5069,2022-05-08,8,5,6,0,0,1,0,0,1,1,0,0,0,1,0,0
205,78,894101,3,729,9570,2022-11-25,25,11,4,0,0,1,0,0,1,1,0,0,0,0,0,1
206,35,761437,0,719,4771,2022-06-11,11,6,5,0,0,1,0,1,0,1,0,1,0,0,0,1
207,47,302659,0,720,1684,2022-12-26,26,12,0,1,0,0,0,1,0,1,0,1,0,0,0,1
208,35,505758,0,591,2029,2022-06-27,27,6,0,1,1,1,0,0,1,1,0,1,0,1,0,0
209,51,50515,5,805,7210,2022-12-09,9,12,4,1,1,0,1,0,0,0,0,0,1,0,0,1
210,78,182695,5,658,5554,2022-08-16,16,8,1,0,0,1,0,0,1,0,1,0,0,1,0,0
211,66,163875,1,734,9886,2022-11-06,6,11,6,0,0,0,1,0,0,1,0,0,1,0,1,0
212,49,182562,0,475,8040,2022-08-09,9,8,1,0,0,1,0,0,0,0,1,0,1,0,0,0
213,44,545783,2,511,9814,2022-06-02,2,6,3,0,1,0,0,0,0,1,0,0,0,0,0,1
214,69,815578,2,771,5089,2022-10-14,14,10,4,0,1,1,0,1,0,1,0,0,0,0,0,0
215,80,455309,3,640,6770,2022-09-27,27,9,1,0,0,1,0,0,0,0,1,0,0,1,0,0
216,42,496360,4,302,1090,2022-03-29,29,3,1,0,0,1,0,0,1,1,0,1,0,0,1,0
217,77,579406,1,389,1714,2023-02-24,24,2,4,0,0,1,0,1,0,1,0,1,0,0,1,0
218,28,467145,2,680,5189,2022-11-11,11,11,4,0,1,0,0,1,0,0,1,0,0,1,0,0
219,46,745642,3,778,4995,2022-09-24,24,9,5,0,0,1,1,0,0,0,0,0,1,1,0,0
220,39,548708,1,445,2778,2022-12-12,12,12,0,1,0,1,0,1,0,1,0,1,0,0,1,0
221,28,672262,5,509,1519,2022-09-07,7,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0
222,78,47216,1,623,9959,2022-11-06,6,11,6,1,0,1,1,0,0,1,0,0,0,0,0,1
223,46,162987,2,627,8814,2022-07-15,15,7,4,1,1,1,1,0,0,1,0,1,0,1,0,0
224,35,266885,5,488,2023,2022-05-16,16,5,0,0,0,1,0,1,0,0,0,0,0,0,0,1
225,41,951219,1,604,9636,2022-07-24,24,7,6,0,1,1,0,0,1,1,0,0,0,0,1,0
226,19,709168,0,407,3466,2022-08-04,4,8,3,0,1,0,0,0,1,0,1,0,0,0,1,0
227,46,720940,5,373,6439,2022-03-12,12,3,5,0,1,0,0,0,1,1,0,0,0,0,0,0
228,75,541121,5,343,3563,2022-05-30,30,5,0,0,0,1,0,0,0,0,1,1,0,0,1,0
229,32,313272,4,336,5687,2022-12-26,26,12,0,0,1,1,0,0,0,0,0,0,1,0,0,0
230,27,185586,5,581,1793,2022-04-26,26,4,1,0,1,1,0,1,0,0,1,0,0,1,0,0
231,39,946611,3,517,5223,2022-05-09,9,5,0,0,0,0,0,1,0,0,0,0,0,1,0,0
232,70,819783,1,501,6627,2022-08-18,18,8,3,0,1,1,0,0,1,0,0,1,0,0,0,0
233,44,742807,2,508,3632,2022-12-28,28,12,2,0,1,0,0,0,0,0,0,0,0,1,0,0
234,69,874368,5,407,8533,2022-03-26,26,3,5,0,1,1,0,0,0,0,1,0,1,0,0,0
235,75,960430,3,592,5290,2023-02-10,10,2,4,0,1,1,0,1,0,0,1,0,0,1,0,0
236,48,101847,5,806,9389,2022-12-02,2,12,4,0,1,0,0,0,1,1,0,0,0,0,1,0
237,79,798337,3,704,3551,2022-12-18,18,12,6,1,0,0,1,0,0,0,0,0,0,1,0,0
238,58,436847,0,734,1057,2023-01-29,29,1,6,0,1,1,0,0,1,0,0,0,0,0,1,0
239,25,518849,3,683,8377,2022-06-27,27,6,0,1,1,1,0,0,0,0,1,1,0,0,0,1
240,39,368411,4,805,4164,2022-11-11,11,11,4,0,1,0,0,1,0,0,0,0,0,0,0,1
241,79,741881,3,779,1169,2022-05-27,27,5,4,1,0,1,1,0,0,0,0,0,0,0,0,0
242,29,182120,0,806,7659,2022-08-06,6,8,5,0,0,1,1,0,0,0,0,1,0,0,1,0
243,59,214660,4,320,5273,2022-03-25,25,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0
244,63,748148,1,346,5415,2022-07-12,12,7,1,0,1,1,0,0,0,0,0,1,0,0,0,1
245,61,742557,1,586,9447,2022-07-19,19,7,1,0,1,1,0,0,0,1,0,1,0,0,0,1
246,57,842815,2,362,7961,2023-02-17,17,2,4,0,1,1,0,0,1,1,0,0,1,0,0,1
247,41,332055,2,589,3930,2023-02-19,19,2,6,0,1,1,1,0,0,0,0,0,1,0,0,0
248,43,662785,3,799,5829,2022-10-01,1,10,5,0,0,1,0,1,0,0,1,1,0,0,1,0
249,20,656559,3,660,2453,2022-05-13,13,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0
250,18,387094,0,530,4363,2022-08-06,6,8,5,0,0,0,0,1,0,0,1,0,0,1,0,0
251,31,602262,1,754,8812,2022-06-12,12,6,6,0,1,1,0,1,0,1,0,1,0,0,0,0
252,70,970326,4,530,2687,2022-09-18,18,9,6,0,0,1,0,0,1,0,1,0,0,0,1,0
253,55,211803,2,690,8638,2023-03-02,2,3,3,0,0,1,0,0,0,0,0,1,0,0,0,0
254,76,198687,2,555,1383,2023-01-04,4,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0
255,44,15143,1,474,6867,2022-05-08,8,5,6,0,1,0,0,0,0,1,0,1,0,0,1,0
256,49,38072,1,561,1433,2022-06-27,27,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1
